section,title,institution,division,department,salary_range,agency_insertion_num,application_deadline,keywords,description_date
Full-Time Nonacademic,"Senior Analyst /  PhD Economist, Division of Health and Environment","Abt Associates, Inc.",Health and Environment,,,,2022-01-31 00:00:00,Health Economics/Behavioral Health/Health Policy /Medicare/Medicaid/Mental Health,2021-11-17
Full-Time Nonacademic,President,American Institute for Economic Research ,,,,,2022-12-31 00:00:00,,
Full-Time Nonacademic,CALDER Researcher,American Institutes for Research,,,,11852,2022-01-31 00:00:00,"CALDER, Economics, public health ",2021-11-01
Full-Time Nonacademic,Health Economist,American Institutes for Research ,Health,,,,2021-11-30 00:00:00,Health Economics/US Health System/Medicare/Medicaid/Domestic health care program evaluation/Technical Assistance/mixed methods evaluation,
Full-Time Nonacademic,International Development Economist,American Institutes for Research (AIR),International Development Division (IDD),,,,2022-01-31 00:00:00,international development/development economist/development economics/international economics/developing countries/social science/public policy/applied statistics/international and development economics/economics for development/international economic development,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Line Open Rank Faculty Position ,American University,Kogod School of Business, Finance and Real Estate,,,2022-01-31 00:00:00,,2021-11-30
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,American University,School of Public Affairs,Public Administration and Policy,,,2021-10-15 00:00:00,social welfare policy/public economics/inequality,
Full-Time Nonacademic,Associate - General,Analysis Group,,,,,2021-11-17 00:00:00,,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Resilience Authority Director,Anne Arundel County Government,,,"$140,000 - $180,000",,2022-07-31 00:00:00,"Finance, Economics, Environmental Science, Engineering, Law, Political Science/Public administration, environmental sustainability, environmental restoration and/or related /Government or the private sector",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Production Econometrics,Auburn University,College of Agriculture,Agricultural Economics and Rural Sociology,,,2022-01-31 00:00:00,agricultural economics/production econometrics/auburn university/college of agriculture,2021-10-15
Full-Time Nonacademic,Economist / Senior Economist,Bank for International Settlements,Monetary and Economic Department,,,,2021-11-25 00:00:00,Macroeconomics/Monetary Economics/Financial Markets/Financial Institutions/International Finance/Industrial Organization,
Full-Time Nonacademic,Senior Economist or FSS Senior Analyst (2021-2022 PhD Job Market),Bank of Canada,,,,,2022-08-31 00:00:00,macroeconomics and monetary economics/banking and payment systems/digital economy/international economics/global commodity markets/financial economics/financial markets and institutions/labour and demographic economics /mathematical and quantitative methods/industrial organzation /law and economics ,
Full-Time Nonacademic,Economist,Bank of Israel,Macroprudential Policy Unit,Research Department,,,2022-10-05 00:00:00,Macroprudential policy/Financial economics/Financial stability/Banking system/Monetary economics,
Full-Time Nonacademic,"Economist, Central Banker",Bank of Japan,,,,,2021-11-30 00:00:00,Central Bank/Monetary Policy/Financial Markets/Financial System,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Economist,Bank of Japan,Institute for Monetary and Economic Studies,,,,2021-11-30 00:00:00,Macroeconomics/Monetary Economics/Finance/International Finance/Econometrics,
US: Other Academic (Visiting or Temporary),Visiting Assistant Professor of Economics and Finance,Bard College,,Economics,,,2022-07-31 00:00:00,Economics and Finance/Financial Economics/Economics /Finance,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)", Multiple Tenure-Track positions in Economics,Bates College,Social Sciences,Economics,,R2218,2021-11-15 00:00:00,Econometrics/Macroeconomics/Applied Microeconomics/Statistics,
Full-Time Nonacademic,Economist,Bates White Economic Consulting,,Client Services,,,2021-11-14 00:00:00,,2021-10-31
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Management Information Systems,Beedie School of Business - Simon Fraser University,,,,,2022-01-31 00:00:00,Business Administration/Management Information Systems,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor of Economics and Management,"Beihang University, China",,School of Economics and Management,,,2021-12-15 00:00:00,"Financial Economics, Energy Economics, Health Economics, Air-transport Economics, Development Economics, Econometrics, Empirical Industrial Organization, Macroeconomics, Marketing, Accounting, Management Science and Engineering, Information System, or other closely related.",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Professor, Associate Professor, Assistant Professor",Bejing Normal University,Bay Area Internatioanl Business School,,"Above 300,000 RMB (4,6350 USD)",,2022-01-31 00:00:00,Professor /Associate Professor/Assistant Professor/Research Fellow/Business School/Bejing Normal University,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor of Finance and Business Analytics,Belmont University,Jack C. Massey College of Business,Economics and Finance,,,2022-01-31 00:00:00,"Corporate Finance, Investments, Financial Institutions, Financial Economics, Business Analytics, Data Science",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Beloit College,,Economics and Business,,,2021-12-03 00:00:00,econometrics/environmental/finance/quantitative methods,2021-12-03
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor/Associate Professor/Assistant Professor in Economics (Ref:DBM210903),BNU-HKBU United International College,Division of Business &amp; Management,,Commencing salaries will be commensurate with qualifications and relevant experience,,2022-01-31 00:00:00,Mathematical Economics/Principles of Macroeconomics/Principle of Microeconomics/Intermediate Macroeconomics/Intermediate Microeconomics/International Trade/Applied Econometrics/Introduction to Empirical Economics/Games and Economic Decisions/Asia-Pacific Economics/Economic and Business Forecasting/Labour Economics/Urban Economics/Mathematical Economics/Economic History/Entrepreneurial Economics/Linear Algebra for Economics and Finance/Calculus for Economics and Finance/Programming for Economic and Business Analysis/Selected Reading from Das Kapital/Foundations of Chinese Economy,
Full-Time Nonacademic,Senior Researcher,Boston College Center for Optimized Student Support,,Lynch School of Education ,,,2022-01-31 00:00:00,Student support,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Two Tenure-Track Positions in Economics,Bowdoin College,,Economics,,,2021-11-15 00:00:00,Microeconomics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Economics CFS Faculty,Brigham Young University,,Economics,,,2021-10-04 00:00:00,,
International: Other Academic (Visiting or Temporary),"Post-Doc Fellow, USC-Brookings Schaeffer Initiative for Health Policy (Job ID: 2021-2736)",Brookings,,,,,2021-12-21 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor ,Brown University,,Economics ,,,2023-02-01 00:00:00,Applied Microeconomics ,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor ,Brown University,,Economics ,,,2023-02-01 00:00:00,Macroeconomics ,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate or Full Professor ,Brown University,,Economics ,,,2023-02-01 00:00:00,Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor of Cybersecurity and International and Public Affairs,Brown University,The Watson Institute for International and Public Affairs,,,,2022-01-31 00:00:00,intersection between cyber technologies and human security/the impact of algorithm-based surveillance on marginalized communities/strategic manipulation of cyber information for geopolitical gain/intersection between social media and surveillance/implications of autonomous weapon systems and drone warfare/development of offensive and defensive cyber weaponry,2021-11-22
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor of International and Public Affairs (Human Rights),Brown University,The Watson Institute for International and Public Affairs,,,,2022-01-31 00:00:00,indigenous rights /civil rights for marginalized communities /gender rights and sexual violence /freedom of expression and assembly /rights to asylum from persecution and conflict /rights to due process /labor rights /environmental rights  /rights to basic standards of living and healthcare /domestic and international human rights instruments and institutions /peacebuilding /transitional justice,2021-12-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor of International and Public Affairs (Racialized and Ethnic Conflict/Violence),Brown University,The Watson Institute for International and Public Affairs,,,,2022-01-31 00:00:00,"Research focuses on various aspects of racialized or ethnically-motivated violence, coercion, and conflict /origins and growth of white supremacy movements/proliferation of ethnic supremacy movements globally/policing of marginalized communities/laws and institutions that aggravate ethnic and racial conflict/ethnic conflict and civil war/ethnically-motived genocide",2021-10-15
